Id da Delegacia (RDO),Número do Bo (RDO),Ano do BO (RDO),Data do Óbito,Data do Acidente,Tipo de via,Dia do óbito,Mês do Óbito,Mês Óbito Descrição,Ano do Óbito,Ano/Mês do Óbito,Dia da Semana,Hora do Acidente,Turno,Município,Região Administrativa,Logradouro,Númeral / KM,Jurisdição,Administração,Conservação,Tipo do local da ocorrência,LAT_(GEO),LONG_(GEO),Tipo do veículo da vítima,Tipo de vítima,Local do óbito,Tipo de acidente,Sub Tipo do Acidente,Tempo entre o Acidente e o óbito,Sexo,Faixa etária,Idade da vítima,Outro Veículo Envolvido
20224,9421,2017,2017-11-30,2017-11-30,Vias Municipais,30,11,NOVEMBRO,2017,2017.11,QUINTA,0:25:00,MADRUGADA,SAO PAULO,Metropolitana de São Paulo,RUA DOUTOR LUIZ AYRES,"5000,0",MUNICIPAL,PREFEITURA,PREFEITURA,PUBLICO,-23.543373,-46.462608,MOTOCICLETA,CONDUTOR,VIA,COLISAO,,Mesmo dia,MASCULINO,25-29,26.0,AUTOMOVEL
30419,2455,2017,2017-11-30,2017-11-30,Vias Municipais,30,11,NOVEMBRO,2017,2017.11,QUINTA,18:00:00,NOITE,OSASCO,Metropolitana de São Paulo,AVENIDA PADRE VICENTE MELILO,"1188,0",MUNICIPAL,PREFEITURA,PREFEITURA,PUBLICO,-23.556322,-46.78045,MOTOCICLETA,CONDUTOR,VIA,COLISAO,,Mesmo dia,MASCULINO,50-54,54.0,ONIBUS
70010,11628,2017,2017-11-30,2017-11-30,Vias Municipais,30,11,NOVEMBRO,2017,2017.11,QUINTA,11:21:00,MANHA,CAMPINAS,Campinas,AVENIDA BARAO DE ITAPURA,"720,0",MUNICIPAL,PREFEITURA,PREFEITURA,PUBLICO,-22.897325,-47.068239,PEDESTRE,PEDESTRE,OUTROS,ATROPELAMENTO,,Mesmo dia,MASCULINO,80 ou mais,86.0,AUTOMOVEL
10374,7284,2017,2017-11-30,2017-07-09,Vias Municipais,30,11,NOVEMBRO,2017,2017.11,DOMINGO,22:30:00,NOITE,SAO PAULO,Metropolitana de São Paulo,AVENIDA SENADOR TEOTONIO VILELA,"2600,0",MUNICIPAL,PREFEITURA,PREFEITURA,PUBLICO,-23.724465,-46.699585,PEDESTRE,PEDESTRE,ESTABELECIMENTO DE SAUDE,ATROPELAMENTO,,Mais de 30 dias,FEMININO,40-44,40.0,MOTOCICLETA
130209,900091,2017,2017-11-30,2017-11-23,Vias Municipais,30,11,NOVEMBRO,2017,2017.11,QUINTA,8:55:00,MANHA,GUARATINGUETA,São José dos Campos,AVENIDA BASF,NAO DISPONIVEL,MUNICIPAL,PREFEITURA,PREFEITURA,PUBLICO,-22.786866,-45.16646,BICICLETA,CONDUTOR,ESTABELECIMENTO DE SAUDE,NAO DISPONIVEL,,Até 7 dias,MASCULINO,70-74,71.0,MOTOCICLETA
30415,3601,2017,2017-11-30,2017-11-28,Vias Municipais,30,11,NOVEMBRO,2017,2017.11,TERÇA,7:00:00,MANHA,SANTANA DE PARNAIBA,Metropolitana de São Paulo,ESTRADA TENENTE MARQUES,"5250,0",MUNICIPAL,PREFEITURA,PREFEITURA,PUBLICO,-23.405811,-46.881824,MOTOCICLETA,CONDUTOR,ESTABELECIMENTO DE SAUDE,COLISAO,,Até 7 dias,FEMININO,30-34,34.0,AUTOMOVEL
100909,3113,2017,2017-11-29,2017-11-24,NAO DISPONIVEL,29,11,NOVEMBRO,2017,2017.11,SEXTA,NAO DISPONIVEL,NAO DISPONIVEL,BARRETOS,Barretos,NAO DISPONIVEL,NAO DISPONIVEL,NAO DISPONIVEL,NAO DISPONIVEL,NAO DISPONIVEL,NAO DISPONIVEL,,,BICICLETA,CONDUTOR,ESTABELECIMENTO DE SAUDE,OUTROS,,Até 7 dias,MASCULINO,30-34,32.0,NAO DISPONIVEL
20210,9657,2017,2017-11-29,2017-11-26,Vias Municipais,29,11,NOVEMBRO,2017,2017.11,DOMINGO,19:50:00,NOITE,SAO PAULO,Metropolitana de São Paulo,RUA DONA ESCOLASTICA MELCHERT DA FONSECA,"1190,0",MUNICIPAL,PREFEITURA,PREFEITURA,PUBLICO,-23.54161,-46.522675,PEDESTRE,PEDESTRE,ESTABELECIMENTO DE SAUDE,ATROPELAMENTO,,Até 7 dias,FEMININO,50-54,53.0,AUTOMOVEL
70708,2203,2017,2017-11-29,2017-11-29,Vias Municipais,29,11,NOVEMBRO,2017,2017.11,QUARTA,16:50:00,TARDE,VARGEM GRANDE DO SUL,Campinas,AVENIDA BOLONHA,NAO DISPONIVEL,MUNICIPAL,PREFEITURA,PREFEITURA,PUBLICO,-21.837261,-46.905521,MOTOCICLETA,CONDUTOR,ESTABELECIMENTO DE SAUDE,COLISAO,,Mesmo dia,MASCULINO,25-29,25.0,MOTOCICLETA
120609,5170,2017,2017-11-29,2017-11-29,Vias Municipais,29,11,NOVEMBRO,2017,2017.11,QUARTA,17:05:00,TARDE,CESARIO LANGE,Sorocaba,VICINAL OCTAVIO PILON,NAO DISPONIVEL,MUNICIPAL,PREFEITURA,PREFEITURA,PUBLICO,-23.217169,-47.856426,MOTOCICLETA,CONDUTOR,ESTABELECIMENTO DE SAUDE,COLISAO,,Mesmo dia,MASCULINO,35-39,39.0,CAMINHAO
